id,source_type,domain,source_text,current_zh,suggested_zh,status,priority,tags,notes
tr-news-011,news,f1_news_title,Piastri left frustrated by Austria qualifying drop,Piastri因奥地利资格下降而受挫,Piastri 对奥地利排位下滑感到沮丧,approved,high,"qualifying,headline",qualifying 固定为排位赛
tr-news-012,news,f1_news_title,McLaren Austrian GP qualifying leaves Norris and Piastri chasing,McLaren 奥地利大奖赛 获得诺里斯和Piastri追逐资格,奥地利站排位后，Norris 与 Piastri 仍需追赶,approved,high,"qualifying,team,headline",leaves chasing 是落入追赶局面
tr-news-013,news,f1_news_title,Oscar Piastri Warns McLaren Still Trail Kimi Antonelli In Austria,奥斯卡·Piastri·沃恩斯·McLaren·斯蒂尔·特雷尔·基米·安托内利·奥地利,Piastri 警告 McLaren 在奥地利仍落后 Kimi Antonelli 一步,approved,high,"practice,team,headline",Warns 不是人名；Trail 是落后
tr-news-014,news,f1_news_title,Why Piastri is in striking distance... and only one McLaren will have key fix,为什么Piastri的距离太远了 只有McLaren有钥匙:,为什么 Piastri 仍有机会，而 McLaren 只有一台车能用上关键修复,approved,high,"team,upgrade,headline",striking distance 是有机会追击
tr-news-015,news,f1_news_title,Piastri emerges as Mercedes’ closest challenger,"Piastri是奔驰最亲密的挑战者,",Piastri 成为 Mercedes 最接近的挑战者,approved,medium,"practice,headline",closest challenger 不是亲密
tr-news-016,news,f1_news_title,Antonelli pips Piastri to top Austria FP2,Antonelli pips Piastri)为奥地利顶级二练,Antonelli 微弱优势力压 Piastri，领跑奥地利二练,approved,high,"FP2,practice,result",pips 是微弱胜过
tr-news-017,news,f1_news_title,FP2: Antonelli sets the pace from Piastri and Norris during second practice in Austria,二练:Antonelli在奥地利的第二次练习中从Piastri和Norris确定速度,奥地利二练：Antonelli 领跑，Piastri 与 Norris 紧随其后,approved,high,"FP2,practice,result",sets the pace 表示领跑
tr-news-018,news,f1_news_title,Alex Brundle saw something 'confusing' in Oscar Piastri's McLaren data at Austrian Grand Prix,"亚历克丝·布伦德在奥斯卡·Piastri在奥地利大奖赛的麦拉伦数据中看到""令人困惑""的东西",Alex Brundle 在 Piastri 的奥地利站 McLaren 数据中看到“令人困惑”的信号,approved,high,"race,data,headline",人名保留英文；McLaren 不译
tr-news-019,news,f1_news_title,Oscar Piastri surprised to beat Ferrari after P4 in Austria as Lando Norris pinpoints where he lost out in P7,奥斯卡·Piastri惊奇地在奥地利P4击败法拉利后被兰多·诺里斯指向出局P7出局位置.,Piastri 对奥地利站 P4 完赛并击败 Ferrari 感到意外，Norris 指出自己 P7 的损失所在,approved,high,"official,race,result,headline",surprised 是感到意外；pinpoints where he lost out 是指出损失所在
tr-news-020,news,f1_news_title,Oscar Piastri stewards verdict: McLaren star avoids Austrian GP penalty scare,奥斯卡·Piastri 管家判决:McLaren星能避免奥地利GP罚被吓倒.,Piastri 干事裁定出炉：McLaren 车手避开奥地利站处罚风险,approved,high,"stewards,penalty,headline",stewards 固定译为干事；penalty scare 为处罚风险
tr-news-021,news,f1_news_title,FIA confirms Oscar Piastri decision after Austrian GP investigation,FIA在奥地利GP调查后确认奥斯卡·Piastri的裁决,FIA 确认 Piastri 奥地利站调查裁定,approved,high,"stewards,penalty,headline",Oscar Piastri 可简写 Piastri；人名保留英文
tr-news-022,news,f1_news_title,Oscar Piastri linked with Red Bull as Max Verstappen McLaren rumours intensify,奥斯卡·皮阿斯特里和红牛有关 马克斯·弗斯泰彭·McLaren的谣言不断加剧,Piastri 被关联至 Red Bull，Max Verstappen 与 McLaren 传闻升温,approved,high,"rumor,contract,headline",传闻标题；人名和车队名保留英文
tr-social-001,social,x_post,what in the everloving fuck goes on at mclaren,永远热爱的他妈的 在McLaren发生了什么,McLaren 到底在搞什么,approved,high,"fan,slang",粉丝口语，可意译，避免粗口直译过强
tr-social-002,social,x_post,"reminds me of last year when he decided 5mins after quali that his best shot at winning spa was attacking right at the start; he did it and he won. he knew track position was important today, he went for it, and he got it. i love when he's hungry for it, he was amazing today","让我想起去年他在夸利之后决定5mins时, 他赢得温泉的最好机会就是在开始攻击;他做到了,他赢了。 他知道赛道位置今天很重要, 他去了,他得到了它。 我喜欢他饥渴的时候 他今天很厉害",这让我想起去年排位后他很快判断：想赢 Spa，最好一发车就进攻；他做到了，也赢了。今天他知道赛道位置很关键，就直接去抢，也抢到了。我喜欢他这种有求胜欲的状态，今天太棒了。,approved,high,"fan,qualifying,race",长粉丝帖应自然意译
tr-social-003,social,x_post,"Q: ""how significant was the opening lap and the moves you made there?"" oscar: ""reasonable, in terms of getting the pit priority i wanted. it's always the benefit of being the first car on the road for the team.""","Oscar:""合理,在获得我想要的坑优先级方面, 成为球队在路上的第一辆汽车总是有好处"".",问：首圈和你当时的超车有多关键？Oscar：还挺关键，主要是拿到我想要的进站优先权。对车队来说，成为路上位置靠前的那台车总是有好处。,approved,high,"interview,pit_priority",pit priority 固定为进站优先权
tr-social-004,social,x_post,"""i'm looking forward to the challenge"" oh he is HUNGRY","""我期待着挑战"" 哦,他是HUNGRY",“我很期待这个挑战” 他的求胜欲真的上来了,approved,medium,"fan,slang",HUNGRY 在体育语境为求胜欲强
tr-social-005,social,x_post,"andrea stella praising oscar's race! ""excellent strategy and tyre management. oscar drove a fantastic race.""","Andrea Stella 称赞奥斯卡的比赛! ""出色的策略和轮胎管理. 奥斯卡驾驶了一场精彩的比赛。""",Andrea Stella 称赞 Oscar 的比赛：“策略和轮胎管理都很出色。Oscar 跑了一场非常精彩的比赛。”,approved,high,"quote,team,tyre",drove a race 译为跑了一场比赛更自然
tr-social-006,social,x_post,From P7 ➡️ P4 #McLarenF1 | #AustrianGP 🇦🇹,来自P7 #P4 #McLarenF1 #奥地利GP #,从 P7 追到 P4 #McLarenF1 | #AustrianGP,approved,high,"race,result",保留标签
tr-social-007,social,x_post,NO FURTHER ACTION !!! p4 is secured,没有进一步的行动! p4是安全的 。 。,不再处罚，P4 保住了,approved,high,"stewards,penalty,result",No further action 为赛会无进一步行动
tr-social-008,social,x_post,"HAPPY OSCAR ON THE RADIO 🥹🫶🏻 ""that was a bit better than last race, nice! still got a bit of pace to make up but thanks for all the effort the last couple of weeks. pretty good evidence that it's paid off. thank you, let's do that every time, thank you!""","快乐的OSCAR在收音机上 ""这是有点好 比上次比赛,不错! 仍然有一点速度来弥补,但是感谢 在过去的几个星期里所做的一切努力。 相当不错的证据 证明它得到了回报。 谢谢,我们每次都这样,谢谢!""",车队无线电里开心的 Oscar：“比上一场好多了，不错！还有一些速度要找回来，但谢谢大家过去几周的努力。这很好地证明努力有回报。谢谢，我们每次都这么干吧，谢谢！”,approved,high,"team_radio,quote",TR 可翻成口语
tr-social-009,social,x_post,Oscar's overtake on Charles,奥斯卡在查尔斯上!,Oscar 对 Charles 的超车,approved,medium,"fan,overtake",Charles 或 Leclerc 都可，保留英文且不影响理解即可
tr-social-010,social,x_post,Oscar's overtake at the start,奥斯卡在开始的状态,Oscar 起步阶段的超车,approved,medium,"fan,overtake,start",start 在正赛语境为发车/起步
tr-social-011,social,x_post,oscar and max before the national anthem,"在国歌前,",Oscar 和 Max 在国歌前,approved,medium,"fan,photo,national_anthem",短图片说明，保留人名英文即可
tr-social-012,social,x_post,"Q: ""did you expect red bull to be as fast as they were?"" oscar: ""no! not as fast. i thought they would be in the race with us and that would be the fight, but it definitely wasn't 😅""","问:""你期望红公牛像他们一样快吗?""奥斯卡:""不!没有快. 我以为他们会和我们一起参加比赛 那才是比赛 但绝对不是",问：你预料 Red Bull 会这么快吗？Oscar：“没有，没想到这么快。我原以为他们会和我们处在同一比赛节奏里，那会是主要对手，但结果显然不是。”,approved,high,"interview,quote,red_bull",采访问答应自然意译；Red Bull 保留英文
tr-social-013,social,x_post,"Q: ""do you think p4 was the maximum of the car today?"" oscar: ""definitely. mercedes & max were in a different league today. it was great to be able to beat both ferraris. very pleased overall and on a personal level i thought it was a strong race.""","问:""你认为p4是今天汽车的最大值吗?""Oscar:""确定. Mercedes & amp; Max 今天的联赛不同。 能击败两个费拉里斯真是太好了 在个人层面,我认为这是一场激烈的比赛。",问：你觉得 P4 是今天赛车能达到的上限吗？Oscar：“是的。Mercedes 和 Max 今天在另一个级别。能击败两台 Ferrari 很好。总体非常满意，就个人表现而言，我觉得这是一场很强的比赛。”,approved,high,"interview,quote,result",处理 &amp; entity；different league 译为另一个级别
tr-social-014,social,x_post,Enjoyed that one,享受那个,这场跑得很享受,approved,high,"driver_post,race",Oscar 本人短帖，口语意译
tr-social-015,social,x_post,oscar filmed a segment for dazn,Oscar拍摄了一段 Dazn!,Oscar 为 DAZN 拍了一段节目,approved,medium,"fan,media",DAZN 保留英文
tr-social-016,social,x_post,oscar's dap skills got a 7/10,Oscar的Dap技巧有7/10: (,Oscar 的击掌/打招呼动作得了 7/10,approved,low,"fan,slang",dap 指击掌打招呼，可意译
tr-social-017,social,x_post,"andrea stella spoke about the work they put in to figure out oscar's struggles in barcelona and how it paid off! ""oscar drove very well today. we invested in understanding a few things after barcelona and oscar delivered that.""","Andrea Stella谈到了他们为了找出Oscar在Barcelona的挣扎而投入的工作 以及它如何得到回报! ""奥斯卡今天开车非常顺利. 在Barcelona和Oscar交付后, 我们投资理解一些事情。""",Andrea Stella 谈到车队如何复盘 Oscar 在 Barcelona 的挣扎，以及这些工作如何得到回报：“Oscar 今天开得很好。Barcelona 之后我们投入精力理解了一些问题，而 Oscar 今天交出了回应。”,approved,high,"team,quote,barcelona",长引语自然化
tr-social-018,social,x_post,"""on a personal level i thought it was a really good race. barcelona was a big struggle, i had some things to learn. i feel like this weekend has been a massive improvement from that in a race that in some ways was similar. overall i'm very happy with today.""","""在个人层面,我认为这是 一个非常好的比赛。 Barcelona是一个大斗争, 我有一些事情要学习。 我觉得这个周末 已经是一个巨大的进步 在比赛中, 在某些方面是相似的。 今天我很高兴""",“就个人表现来说，我觉得这是一场很好的比赛。Barcelona 对我来说很艰难，我有些东西要学习。这个周末在某些相似条件下，我觉得自己有了很大进步。总体来说，我对今天很满意。”,approved,high,"interview,quote,race",Oscar 赛后长引语
tr-social-019,social,x_post,"Well done mate, that's a really phenomenal drive, great drive! Really good job Oscar, that's exactly what we were looking for. 🐝Yeah that was a bit better than last race, nice. Good job everybody, that was a tough afternoon, I've still got a bit of pace to make up but thanks guys for all the effort the last couple of weeks. I think that is pretty good evidence that it's paid off. So thank you, let's do that every time~Thank you~","做得好,伙计, 这是一个真正的惊人的驱动, 伟大的驱动! 奥斯卡干的不错,这正是我们要找的 是啊,这是有点好 比上次比赛,不错。 辛苦了,我还有一点时间弥补 但是感谢大家在过去几周里的努力 我认为这是相当好的证据 证明它得到了回报。 所以,谢谢你,让我们每次做 谢谢",车队无线电：工程师：“干得漂亮，这是一场非常出色的驾驶，正是我们想看到的。” Oscar：“是的，比上一场好多了。大家辛苦了，今天下午并不轻松，我还有一些速度要找回来，但谢谢大家过去几周的努力。这很好地证明努力有回报。谢谢，我们每次都这么干吧。”,approved,high,"team_radio,quote",用户反馈 badcase；TR 对话框语气
tr-social-020,social,x_post,"i was able to be happy for 0.5 seconds and here come the ""fia"" putting my joy on hold... RESOLVE THIS INVESTIGATION QUICKLY I BEG","我快乐了0.5秒,""Fia""来了,让我的快乐被搁置... 尽快完成这项调查",我才开心了 0.5 秒，FIA 就来了，把我的快乐暂停了……求求快点把调查处理完。,approved,high,"fan,stewards,slang",粉丝情绪帖，保留夸张语气
tr-social-021,social,x_post,"start p7, overtake norris at the start, overtake leclerc, keep hamilton behind, recover three places, deny the special helmet curse allegations, deny the bad race pace allegations, deny the tyre muncher allegations and call it a day","开始p7,开始取取诺里斯 在开始取取取克勒克,保持Hamilton落后,恢复了3个位置,否认了特殊的头盔诅咒指控,否认了赛跑节奏不好的指控,否认了轮胎杂货商的指控,并宣布一天结束",P7 发车，起步超 Norris，再超 Leclerc，把 Hamilton 挡在身后，追回 3 个位置，顺手打破“特殊头盔诅咒”“正赛速度不行”“吃胎”的质疑，然后收工。,approved,high,"fan,race,slang",用户反馈 badcase；保留粉丝梗
tr-social-022,social,x_post,really solid race today for P4! doing us proud as always ☺️ up to P4 in the drivers standings too 👀,今天P4的比赛很顺利!,今天 P4 完赛很扎实，一如既往让我们骄傲；车手积分榜也升到 P4 了。,approved,medium,"fan,result,standings",粉丝总结
tr-social-023,social,x_post,oscar has been called to the stewards for driving unnecessarily slowly during reconnaissance laps.,Oscar因在侦察圈中驾驶不必要地缓慢而被召至服务员.,Oscar 因侦察圈中“不必要地慢速驾驶”被干事传唤。,approved,high,"stewards,penalty",用户反馈 badcase；stewards 固定译为干事
tr-social-024,social,x_post,p4 today also means oscar is now p4 in the driver standings with 80 points!,"今天p4也意味着Oscar现在是p4,在车手站出80分!",今天 P4 完赛也意味着 Oscar 以 80 分升至车手积分榜第 4。,approved,high,"standings,result",用户反馈 badcase
tr-social-025,social,x_post,"tom: ""that's the chequered flag. great drive mate. that's a phenomenal drive to p4. that's what we were looking for."" oscar: ""well, that was a bit better than last week! thanks guys. lot of hard work done, more pace to find.""","汤姆:""那是支票旗. 伟大的驱动伙伴。 奥斯卡:""好吧,那比上周好点了!"" 谢谢 很多艰苦的工作, 更多的速度寻找。""",车队无线电：Tom：“方格旗了。开得很好，P4 这场非常出色，正是我们想看到的。” Oscar：“嗯，比上周好多了！谢谢大家。做了很多努力，还有速度要继续找。”,approved,high,"team_radio,quote",用户反馈 badcase；chequered flag 固定译为方格旗
tr-social-026,social,x_post,"FROM P7 TO P4 !!!! he said he understood what went wrong in barcelona and he showed it today: great pace, great tyre management, great overtakes. a race to be very proud of","从P7到P4! 他说他明白巴塞洛纳出了什么问题 他今天展示了这一点: 车速快,轮胎管理好,超负荷。 赛跑得非常骄傲",从 P7 到 P4！他说自己明白了 Barcelona 出了什么问题，今天也证明了这一点：速度好、轮胎管理好、超车漂亮。这是一场值得骄傲的比赛。,approved,high,"fan,race,result",粉丝总结
tr-social-027,social,x_post,oscar making sure he got one goated overtake in before the end of june just so he can win another overtake of the month award,"Oscar在June临终前确保他被一个GODO入围,",Oscar 赶在 6 月结束前又贡献了一次神级超车，只为再拿一次月度最佳超车。,approved,medium,"fan,overtake,slang",goated 意译为神级
tr-social-028,social,x_post,"zak brown on the possibility of max joining mclaren: ""i'd be very surprised if lando or oscar went elsewhere. they're happy here, we're very happy with them. if for some reason someone slipped on a banana peel getting out of the tub then of course, max is a world champ""","如果Lando或Oscar去别的地方, 他们在这里很快乐 我们对他们很满意 如果因为某种原因有人滑倒 在香蕉皮上 从浴缸里出来,当然,最大是一个世界冠军""兄弟""",Zak Brown 谈 Max 加入 McLaren 的可能性：“如果 Lando 或 Oscar 去别的地方，我会非常惊讶。他们在这里很开心，我们也很满意他们。如果某些极端意外发生，当然，Max 是世界冠军。”,approved,medium,"team,rumor,quote",banana peel 比喻意外，不直译
tr-social-029,social,x_post,mclaren right now working on the breaks of oscar's car (they were doing the same in lando's),McLaren现在正在研究 Oscar的车被撞断的问题(他们在Lando的车里也是这样),McLaren 现在正在处理 Oscar 赛车的刹车；Lando 那边也在做同样的事。,approved,medium,"team,car",原文 breaks 疑似 brakes，按赛车语境处理
tr-social-030,social,x_post,"oscar, max and lewis during the national anthem!",奥斯卡 国歌时的花花公子,国歌期间的 Oscar、Max 和 Lewis。,approved,medium,"fan,photo,national_anthem",短图片说明
tr-social-031,social,x_post,some components in oscar's car were replaced/modified during parc fermé. no penalty!,Oscar车上的一些部件在发烧时被替换/修改. 没有惩罚!,Oscar 赛车的一些部件在 parc ferme 状态下被更换/调整；没有处罚。,approved,high,"stewards,parc_ferme,penalty",parc ferme 不译为发烧
tr-social-032,social,x_post,SPUNCH,语 文,SPUNCH,approved,low,"fan,meme",梗图/短梗无法可靠翻译，保留原文
tr-social-033,social,x_post,carlos signed a pic of oscar in the ice bath with his duckies,* Carlos在冰浴里用鸭子签了一张奥斯卡像,Carlos 在 Oscar 泡冰浴、身边有小鸭子的照片上签了名。,approved,low,"fan,photo",粉丝图片说明
tr-social-034,social,x_post,this is so funny he looks so silly with his umbrella,这太好笑了 他拿着雨伞看起来太傻了,这也太好笑了，他拿着伞的样子好可爱。,approved,low,"fan,photo",粉丝语气
tr-social-035,social,x_post,oscar and his umbrella against the world,奥斯卡和他的伞对抗世界,Oscar 和他的伞，对抗整个世界。,approved,low,"fan,photo",保留梗感
tr-social-036,social,x_post,oscar is here for race day!,奥斯卡来参加比赛了!,Oscar 来到正赛日现场！,approved,medium,"fan,race_day",race day 固定为正赛日
tr-social-037,social,x_post,"Q: Might you hope to use your tyres better and make up some places? ""We'll have to see. I mean the Ferraris being in the top 3 is impressive. They didn't look amazing yesterday, today they've definitely made a step forward. I think in the race, they're generally quick in all the corners and not so much on the straights. So if that means they have more downforce then in this heat, that's only a good thing for them. We'll try our best obviously but I think it'll be a tough race and everyone pretty close on pace""","问:你是否希望更好地使用轮胎, ""得相见. 我的意思是法拉利队在前3名是令人印象深刻的。 他们昨天看起来并不惊人,今天他们确实向前迈出了一步. 我认为在比赛中,它们一般在每一个角落都是快活的,而不是在直道上那么快. 因此,如果这意味着他们有 更多的降压, 那么在这个热度, 这只是一件好事 他们。 很明显我们会尽力的 但我觉得这比赛会很艰难 每个人都很接近""",问：你会期待更好地利用轮胎、追回一些位置吗？Oscar：“还得看情况。两台 Ferrari 都进了前三，这确实很强。他们昨天看起来没那么突出，但今天明显向前迈了一步。我觉得正赛里他们通常在弯道很快，直道没那么快。如果这意味着他们有更多下压力，那在这种高温下只会对他们有利。我们当然会尽力，但我觉得比赛会很艰难，大家的速度都很接近。”,approved,high,"interview,quote,tyres",长采访问答；Ferraris in the top 3 是两台 Ferrari 都进前三，不是包揽前三
tr-social-038,social,x_post,"Q: Ultimately were you caught out by what happened? ""No, I was in front of it. Just not quick enough for us unfortunately. I think the whole weekend there's been half a tenth, at most, between the two of us. I feel like we're probably getting the most out of things. The last lap was a little bit messy in a few places but we didn't have enough to go and challenge George today. Little bit frustrating, it seemed like we were really competitive yesterday and even at the start of Q1, Q2 just missing out on that last little bit.""","问:你最终是否为所难? ""不,我在它前面。 但对我们来说还不够快 我想整个周末我们之间 最多有一半的时间 我觉得我们可能 得到的东西最多。 最后一圈在几个地方有点乱 但我们今天没有足够的时间去挑战乔治 似乎我们昨天真的很有竞争力, 甚至早在Q1,Q2开始时,",问：你最终是被当时的情况影响了吗？Oscar：“没有，我在它前面。不幸的是，我们就是不够快。整个周末我们两台车之间最多也就半个十分之一。我觉得我们大概已经把能拿到的都拿到了。最后一圈有几个地方有点乱，但今天我们没有足够速度去挑战 George。确实有点沮丧，昨天甚至 Q1、Q2 开始时我们看起来都很有竞争力，但最后就是差了那一点。”,approved,high,"interview,quote,qualifying",长采访问答
tr-social-039,social,x_post,Quali dayyyyy,排位赛 dayyyyy (法语),排位日来了,approved,low,"fan,qualifying",粉丝短句
tr-social-040,social,x_post,"oscar's thoughts on fp day: ""it was a pretty good day. we are a step behind mercedes, but we expected it. it's been a productive day, we tried a lot of things. we had some homework to do on my side from spain and i feel like we've done a good job of that. it's been pretty good!""","奥斯卡在fp日的想法:""这是一个相当不错的一天. 我们比商场落后了一步 但我们预料到了 今天很有成果 我们尝试了很多 我们做了一些家庭作业 从斯潘,我觉得我们已经做了一个很好的工作。 已经很不错了!""",Oscar 谈练习日：“今天相当不错。我们比 Mercedes 落后一步，但这是预料之中的。今天很有成效，我们尝试了很多东西。Spain 之后我这边有些功课要做，我觉得我们完成得很好。整体挺不错。”,approved,high,"interview,practice,quote",FP day 译为练习日
tr-social-041,social,x_post,Taking some downtime with our duo, #McLarenF1#奥地利GP#,和我们的双人组一起放松一下。,approved,low,"team,photo",McLaren 图文短句
tr-social-042,social,x_post,Red Bull Ring’de ilk antrenman seansı tamamlandı. 1- Antonelli 2- Russell 3- Piastri,"红色公牛环, 一-安东内利 二-罗素 三-Piastri",Red Bull Ring 一练结束：1. Antonelli，2. Russell，3. Piastri。,approved,medium,"practice,result,turkish",土耳其语源，按结果表达
tr-social-043,social,x_post,A 1-2 for Mercedes in the opening hour! 👀 Kimi Antonelli sets the fastest time in FP1 ahead of George Russell and Oscar Piastri,首发时间梅赛德斯1比2! Kimi Antonelli在一练中以最快的速度领先了乔治·罗素和奥斯卡·Piastri. #F1#奥地利GP,Mercedes 在首个小时包揽前二！Kimi Antonelli 在一练做出最快圈，领先 George Russell 和 Oscar Piastri。,approved,medium,"FP1,result,official",F1 官方转帖
tr-social-044,social,x_post,Oscar Piastri’nin Avusturya GP kaskı.,奥斯卡·Piastri宁·阿武斯图里亚 GP kask.,Oscar Piastri 的奥地利大奖赛头盔。,approved,medium,"helmet,turkish",土耳其语源
tr-social-045,social,x_post,he looks so young this weekend... what a CUTIE,这周末他看起来很年轻... 多可爱啊...,他这个周末看起来好年轻，太可爱了。,approved,low,"fan,photo",粉丝语气
tr-social-046,social,x_post,oscar and lily arrive for practice day in austria!,Oscar和Lily来澳洲练习日了!,Oscar 和 Lily 抵达奥地利练习日现场！,approved,medium,"fan,practice_day",Austria 是奥地利，不是澳洲
tr-news-023,news,f1_news_title,Monster launches Oscar Piastri F1 cans,怪物发射 Oscar Piastri F1罐,Monster 推出 Oscar Piastri F1 联名罐,approved,high,"merch,sponsor,headline",用户反馈 badcase；Monster 是品牌名，launches 是推出，cans 是联名罐
tr-news-024,news,f1_news_title,Monster Energy unveils new Oscar Piastri cans,怪兽能源公司揭幕 新的Oscar Piastri罐头,Monster Energy 发布新的 Oscar Piastri 联名罐,approved,high,"merch,sponsor,headline",用户反馈 badcase；unveils 在商业标题中译为发布/推出
tr-news-025,news,f1_news_title,Monster launches limited-edition Oscar Piastri F1 cans,怪兽发射限量版 Oscar Piastri F1 Cans,Monster 推出 Oscar Piastri 限量版 F1 联名罐,approved,high,"merch,sponsor,headline",同类 Monster 联名罐标题
tr-news-026,news,f1_news_title,F1 stewards make call on punishment for Oscar Piastri and overturning result,F1管理者呼吁惩罚Oscar Piastri 和推翻结果,F1 干事调查后决定是否处罚 Piastri、是否改写赛果,approved,high,"stewards,penalty,headline",用户反馈 badcase；make call 是作出决定，不是呼吁
tr-news-027,news,f1_news_title,Piastri Austria Recovery Gives McLaren Ferrari Reality Check,Piastri奥地利复苏 给McLarenFerrari现实检查,Piastri 奥地利站反弹，让 McLaren 与 Ferrari 看清现实差距,approved,high,"race,idiom,headline",用户反馈 badcase；recovery 是反弹，reality check 是看清现实
tr-news-028,news,f1_news_title,‘Clear penalty’: Max reignites bitter rivalry; strong Piastri signs as big title statement sent — F1 wrap,"“清罚”:马克思点燃了激烈的争斗;强烈的Piastri标志,",“这明显该罚”：Max 再度点燃激烈对抗；Piastri 展现强势信号,approved,high,"penalty,race,headline",用户反馈 badcase；clear penalty 不是清罚，signs 是信号/迹象
